idx	ATU	SUB	Classifications	Category	Subcategory	Variation Example
240	186	-	Apinn og hnetan	Dýrasögur (1-299)	150-199 Villt dýr og menn	Api kastar hnetu frá sér vegna þess að hún er með beiska skel og gleymir ætum kjarna.
241	200	-	Vottorðið fyrir hundinn	Dýrasögur (1-299)	200-219 Húsdýr	Hundarnir hafa vottorð sem þeir gefa ketti til að geyma það. Mús eyðileggur þetta vottorð. Síðan þá eru hundar og kettir óvinir, líka kettir og mýs.
242	200	A	Hundur týnir skírteini	Dýrasögur (1-299)	200-219 Húsdýr	Hundurinn missir skírteini (áður Hundur missir einkaleyfisrétt sinn) sem hann hafði sett undir rófuna til að fara yfir á. Skírteinið tryggði hundunum forréttindi. Til að leita að þessu týnda skírteini leita (þefa) hundarnir undir rófuna hver á öðrum.
243	200	B	Af hverju hundar þefa hver annan	Dýrasögur (1-299)	200-219 Húsdýr	Þessi saga birtist aðallega í tveimur mismunandi myndum: (1) Dýr halda veislu og uppgötva að piparinn er horfinn. Einn hundur er sendur til að kaupa en snýr ekki aftur. Síðan þá þefa hundar hver af öðrum til að finna hundinn. Eða hundur er sendur til að sækja lyf og snýr ekki aftur. (2) Sumir hundar eru sendir til himna til að fá áheyrn og meðan þeir bíða skíta þeir á himnum og eru reknir burt. Næst eru krydd eða ilmvötn fest undir hala þeirra en aftur eru þeir reknir burt. Þessir hundar snúa ekki aftur til hinna hundanna, sem halda áfram að leita að týndu hundunum með því að þefa undir hala hvers annars.
244	200	C*	Fjandskapur milli kanínu og hunds	Dýrasögur (1-299)	200-219 Húsdýr	Þessi saga er aðallega til í tveimur mismunandi myndum: (1) Kanínan (hjörturinn) fær lánaða skó hundsins (hérans) og hleypur í burtu með þá. Síðan þá hefur hundurinn elt kanínuna. (2) Kanínan rakar leynilega feldinn af iljum hundsins.
245	200	D*	Af hverju er kötturinn inni og hundurinn úti í kuldanum?	Dýrasögur (1-299)	200-219 Húsdýr	Hundur öfundar kött af því að hann sé inni. Þeir halda keppni og sigurvegarinn fær að búa inni. Hundurinn er hraðari en kötturinn en tapar því í keppninni er hann ráðist á og haldinn af betlara.
246	201	-	Magri hundurinn kýs frelsi fremur en gnægð matar og keðju	Dýrasögur (1-299)	200-219 Húsdýr	Grannur hundur (úlfur, ljón, asni, gullfinka, fiðrildi) myndi frekar vera frjáls en að hafa gnægð af mat og vera fjötraður.
247	201	D*	Hundurinn geltir á þjófa	Dýrasögur (1-299)	200-219 Húsdýr	Þjófur reynir að gefa varðhundi að éta til að stöðva geltið. Hundurinn áttar sig á því og heldur áfram að gelta til að reka þjófinn í burtu. Ef húsbóndi hans er rændur verður ekkert eftir fyrir hundinn.
248	201	F*	Óvinveittir hundar eru gerðir vingjarnlegir	Dýrasögur (1-299)	200-219 Húsdýr	Þau sameinast gegn sameiginlegum óvini (úlfi)
249	201	G*	Hundurinn í veislunni	Dýrasögur (1-299)	200-219 Húsdýr	Hund er boðið í mat af öðrum hundi en kokkurinn rekur hann burt. Á leiðinni heim hittir hann hund sem spyr hann hvernig kvöldmaturinn hafi verið. Fyrri hundurinn fullyrðir að hann hafi verið svo ölvaður að hann muni ekki neitt.
250	202	-	Tvær þrjóskar geitur	Dýrasögur (1-299)	200-219 Húsdýr	Tvær geitur (hestur og asni, ljón og refur) mætast á lítilli brú (steini). Hvorug þeirra vill stíga til hliðar. Báðar halda áfram (berjast hvor við aðra) og falla í vatnið.
251	203	-	Sauðfé og hestur halda átkeppni	Dýrasögur (1-299)	200-219 Húsdýr	Þessi saga er aðallega til í tveimur mismunandi myndum: (1) Sauðkind og hestur keppa um át. Sauðkindin heldur að hún hafi tapað vegna þess að fæturnir á henni séu of veikir. (2) Í keppninni milli geitar og kanínu vinnur geitin vegna þess að hún jórtrar.
252	204	-	Dýr í hættu á sjó	Dýrasögur (1-299)	200-219 Húsdýr	Þegar dýr (t.d. önd, hani, sauður, gæs, svín, geit, köttur, mús, rotta) eru í hættu á sjó syndir öndin, haninn flýgur upp í mastrið og sauðkindin drukknar. Hvert dýr kallar eitthvað sem samsvarar hljóðfræðilega einkennandi rödd þess.
253	206	-	Strá þreskt annað sinn	Dýrasögur (1-299)	200-219 Húsdýr	Á nóttunni segjast dýrin hafa fengið góðan mat því stráin hafi ekki verið vel þreskt. Húsbóndinn heyrir þetta og þreskir stráinn öðru sinni. Dýrin svelta.
254	207	-	Uppreisn vinnudýranna	Dýrasögur (1-299)	200-219 Húsdýr	Hani ráðleggur asna og uxa að þykjast veikir svo þeir geti unnið minna. Bóndinn heyrir þetta tal og lætur slátra hananum.
255	207	A	Asni fær ofvinnuðan uxa til að þykjast veikur	Dýrasögur (1-299)	200-219 Húsdýr	Asninn verður að vinna verk uxans, svo hann sannfærir uxann um að hætta að vera veikur.
256	207	A*	Lati hesturinn	Dýrasögur (1-299)	200-219 Húsdýr	Latur hestur (duglegi asninn) bíður alltaf eftir næsta tímabili. Duglegi hesturinn er ánægður með hvaða árstíð sem er.
257	207	B	Harðhjartaður hestur og asni	Dýrasögur (1-299)	200-219 Húsdýr	Hestur neitar að hjálpa ofhlaðnum asna, svo hann fellur. Eftir það verður hesturinn að bera byrðina einn.
258	207	C	Dýr hringja bjöllu og krefjast réttlætis	Dýrasögur (1-299)	200-219 Húsdýr	Konungur (Karlamagnús, Anu-širwān) á bjöllu sem þeir sem biðja um réttlæti geta hringt. Gamall hestur (asni) hringir bjöllunni og ásakar húsbónda sinn um að hafa rekið hann burt vegna þess að hann er gamall og veikburða. Konungurinn skipar húsbóndanum að annast gamla dýrið. Eða bjöllunni er hringt af snák sem er ógnað af froski. Konungurinn drepur froskinn og snákurinn sýnir þakklæti með því að lækna blinda konunginn.
259	209	-	Asnarnir ákveða að drepa söðulinn	Dýrasögur (1-299)	200-219 Húsdýr	Sumir asnar ákveða að drepa söðlasmiðinn til að losna við vinnuna sína. Þegar gamall asni varar þá við því að næsti söðlasmiðurinn verði óreyndur, hætta þeir við áætlun sinni.
260	210	-	Hani, hæna, önd, nál og nál í ferðalagi	Dýrasögur (1-299)	200-219 Húsdýr	Dýrin og hlutirnir (einnig egg, myllusteinn, hundur, mús, krabbi) fela sig á ýmsum stöðum í húsinu. Þau drepa eiganda hússins með einkennandi styrkleikum sínum. Í sumum afbrigðum bjarga þau honum (ungri konu) úr hættu eða hefna sín fyrir einn af félögum sínum sem var drepinn.
261	210	*	Verlioka	Dýrasögur (1-299)	200-219 Húsdýr	Hinn hræðilegi djöfull, Verlioka, drepur tvær stúlkur og ömmu þeirra. Afinn fer í kofa djöfulsins til að refsa honum. Á leiðinni hittir hann ýmsa hluti og dýr (t.d. reipi, kúamykju, prik, önd, krabba, eiklum) sem slást í för með honum þar sem þau vilja líka hefna sín. Saman drepa þau djöfulinn.
262	211	-	Tveir asnar og farmur þeirra	Dýrasögur (1-299)	200-219 Húsdýr	Asni hlaðinn salti fellur í á. Byrðin verður léttari. Annar asni hlaðinn svampum (fjöðrum) reynir að létta á sama hátt en drukknar (næstum því) því vatnið þyngir byrðina. Eða tveir fuglar keppast um hvor þeirra geti flogið hærra með byrði. Annar fuglinn ber bómull, hinn salt. Í keppninni rignir, svo seinni fuglinn vinnur.
263	211	B*	Dýr fara inn í krá	Dýrasögur (1-299)	200-219 Húsdýr	Þrjú dýr fara inn í krá. Fyrsta dýrið (gæsir, önd) pantar bjór, annað (eitur, geit) segist ekki geta borgað fyrir hann, en þriðja (villisvín, kalkúnn) fullvissar gistihúseigandann um að hann muni borga síðar. Samræður milli dýra með hermingu dýrarödda.
264	212	-	Liggjandi geit	Dýrasögur (1-299)	200-219 Húsdýr	Maður sendir fjölskyldu sína, einn á fætur öðrum, til að gæta geitarinnar. Heima kvartar geitin alltaf yfir því að hún hafi ekki fengið neitt að borða. Maðurinn sendir reiður syni sína (dætur, eiginkonu) burt eða drepur þær. Þegar hann sjálfur gætir geitarinnar áttar hann sig á því að hún lýgur. Hann fláir geitina (rakar höfuðið) til að refsa henni. Geitin kemst undan í refarholu og rekur burt ref, úlf og björn. Býflugu (broddgelti, maur) tekst að reka geitina burt.
265	214	-	Asni reynir að strjúka húsbónda sínum	Dýrasögur (1-299)	200-219 Húsdýr	Asni, sem horfir á hversu vel hundurinn er meðhöndlaður, reynir að smjaðra húsbónda sínum á sama hátt. En hann er refsað fyrir gjörðir sínar.
266	214	*	Asni öfundar hestinn í fínum klæðnaði hans	Dýrasögur (1-299)	200-219 Húsdýr	Þegar hesturinn fellur í bardaga (verður að vinna í myllu) er asninn ekki lengur öfundsjúkur.
267	214	A	Syngjandi asni og dansandi úlfaldi	Dýrasögur (1-299)	200-219 Húsdýr	Asni og úlfaldi (refur og asni, sporðdreki og froskur) eru fangaðir vegna söngs asnans. Þau verða að vinna í hjólhýsi. Þegar asninn neitar að fara yfir ána með hjólhýsinu verður úlfaldinn að bera það. Úlfaldinn byrjar að dansa og kastar asnanum í ána.
268	214	B	Asni í ljónshúð	Dýrasögur (1-299)	200-219 Húsdýr	Asni (héri), dulbúinn í ljónsskinn, dreifir ótta en uppgötvast með rödd sinni eða öðru einkennandi einkenni.
269	215	-	Kráka reynir að bera burt lamb eins og örn gerir	Dýrasögur (1-299)	200-219 Húsdýr	Lambið er of þungt en kákan getur ekki sleppt því hún er föst í reyfinu á lambinu.
270	217	-	Kötturinn með kertið	Dýrasögur (1-299)	200-219 Húsdýr	Maður þjálfar kött (apa, hund) til að halda á logandi kertum á höfðinu. Þegar mús hleypur um herbergið sleppir kötturinn kertinu og eltir músina.
271	218	-	Köttur sem umbreytist í mey hleypur á eftir mús	Dýrasögur (1-299)	200-219 Húsdýr	Köttur (míslingur) breytist í konu svo hún geti gifst ungum manni, en hún heldur áfram að elta mýs.
272	219	E*	Gamli maðurinn á hani, gamla konan hænu	Dýrasögur (1-299)	200-219 Húsdýr	Gamall maður öfundar konu vegna eggja hænunnar hennar. Hann sendir hanann sinn af stað til að færa honum peninga. Þegar haninn kemur aftur með mikla peninga sendir gamla konan hænuna af stað til að gera slíkt hið sama, en hún kemur aftur án árangurs.
273	219	E**	Hænan sem verpti gullegginum	Dýrasögur (1-299)	200-219 Húsdýr	Hæna (gæs) verpir einu gulleggi á hverjum degi (fyrir fátæka konu). Konan (eiginmaður hennar) heldur að hænan sé full af gulli og slátrar því en finnur ekkert sérstakt inni í henni.
274	219	F*	Hundurinn og sáin rífast	Dýrasögur (1-299)	200-219 Húsdýr	Hundur og svín rífast um hvor þeirra eigi auðveldast með að fæða. Þegar hundurinn fullyrðir að af öllum dýrum eigi hún auðveldast með að fæða, bendir svínið á að hvolpar hundsins séu blindir við fæðingu.
275	219	H*	Haninn og perlan	Dýrasögur (1-299)	200-219 Húsdýr	Hani kýs eitt fræ fremur en margar perlur.
276	220	-	Fuglaráðið	Dýrasögur (1-299)	220-299 Önnur dýr og hlutir	Örninn sem dómari úthlutar hverri fuglategund hreiðurstöðum og verki.
277	220	A	Réttarhöldin yfir krákunni af örninum	Dýrasögur (1-299)	220-299 Önnur dýr og hlutir	Kráka er dæmd og refsað fyrir ýmis glæpi. Til að hefna sín rægir krákan aðra fugla sem eru síðan einnig refsaðir.
278	221	-	Kosning konungs Brids	Dýrasögur (1-299)	220-299 Önnur dýr og hlutir	Fuglarnir keppa um að velja sér konung. Mýskelurinn vinnur með snilld og verður konungur.
279	221	A	Próf: Hver getur flogið hæst?	Dýrasögur (1-299)	220-299 Önnur dýr og hlutir	Fuglarnir eru sammála um að sá sem flýgur hæst verði konungur þeirra. Mistillinn felur sig í vængjum arnarins og bíður þar til örninn nær hæsta punkti sínum. Þá flýgur mistillinn út, hærra en örninn.
