idx	ATU	SUB	Classifications	Category	Subcategory	Variation Example
200	159	-	Captutred Wild Animals Ransom Themselves	Animal Tales (1-299)	150-199 Wild Animals & Humans	An old couple spread pitch on a straw calf. One after another, a bear, a wolf, a fox, & a rabbit touch the calf & stick to it. In return for not being slaughtered, they promise to bring cows, horses, geese & cabbage. Thus the animals ransom themselves & the old people get rich.
201	159	*	Quarrel over the Stag	Animal Tales (1-299)	150-199 Wild Animals & Humans	Sitting in a tree, a man hears a lion, a dog, a cat & an eagle quarreling over a dead stag (donkey). They ask the man to arbitrate.
202	159	A	Animals Warm Selves at Charcoal Burner's Fire	Animal Tales (1-299)	150-199 Wild Animals & Humans	They are sent after food for dinner. Each of them brings some back, but the charcoal burner drives them away or kills them.
203	159	B	Enmity of Lion & Man	Animal Tales (1-299)	150-199 Wild Animals & Humans	A lion (bear) helps a man with his work. The man praises his virtues but criticises the bad smell of his mouth. The lion forces the man to strike him on his head with an axe. After a year, the man & the lion meet again. The lion says that his wound is healed but it stills hurts, & devours the man. In some variants the man’s wife complains about the lion. The lion overhears this & forces the man to wound him.
204	159	C	The Lion & The Statue	Animal Tales (1-299)	150-199 Wild Animals & Humans	In order to demonstrate the superiority of humans over animals, a man shows a lion a statue of a conquered lion. The lion replies that if a lion had made the statue, it would have looked different.
205	160	-	Grateful Animals; Ungrateful Man	Animal Tales (1-299)	150-199 Wild Animals & Humans	A traveler saves a tiger (lion, crow), a monkey (bear), a snake, & a man (jeweler) from a pit (from a tree trunk floating in a flood). The animals give their rescuer a reward or promise to help him later. One animal gives him stolen jewels. The man also promises to reward the rescuer but later he denies it. He accuses the rescuer before the king of having stolen the jewels. The rescuer is to be punished. The snake saves him by biting the king’s child & then showing the rescuer the proper remedy. The traveler is freed & the jeweler is punished. Often the traveler is warned not to rescue the man.
206	160	*	A Woman Betrays a Bear	Animal Tales (1-299)	150-199 Wild Animals & Humans	A woman is attacked by a bear in the forest. The bear lays her down near a stump of a tree & starts to dig a hole. The woman ties her head-covering to the stump & slips away.
207	161	-	Farmer Betrays Fox by Pointing	Animal Tales (1-299)	150-199 Wild Animals & Humans	A farmer hides a fox from the hunters in a basket, & promises not to betray him. When the hunters come, he says, “The fox just went over the hill”, but he points to the basket. The hunters do not see this. When the farmer asks the fox to thank him, the fox answers that he would have thanked him if gestures & words had agreed with each other.
208	161	A*	Bear with the Wooden Leg	Animal Tales (1-299)	150-199 Wild Animals & Humans	A poor old man cuts off a sleeping bear’s leg with an axe. His wife cooks the leg & spins the fur into yarn. The bear makes himself a leg from linden wood. At night he comes to the house & eats the old man. Or, the bear comes to the house & sings about what was done to him, “All the people are asleep; so are the little birds. Only one old woman is awake, & she spins my wool & boils my flesh.”
209	162	-	Master Looks More Closely Than the Farmhand	Animal Tales (1-299)	150-199 Wild Animals & Humans	A stag hides from hunters in a stable, but the cows warn him that he would be more secure in the forest. The farmhand does not notice him, but the master finds him & kills him.
210	162	A*	The Wolf Steals & Eats One Sheep	Animal Tales (1-299)	150-199 Wild Animals & Humans	The Wolf Steals & Eats One Sheep, then two, & finally the whole herd & the shepherd. The wolf is killed.
